current_path	target_path	responsibility	role	decision	rationale
rnastructure_native/data_tables/enthalpy_as_dg/dna.tstacki.dg	rnastructure_native/data_tables/enthalpy_as_dg/dna.tstacki.dg	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.tstacki.dg	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.tstacki.dh	rnastructure_native/data_tables/enthalpy_as_dg/dna.tstacki.dh	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.tstacki.dh	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.tstacki1n.dg	rnastructure_native/data_tables/enthalpy_as_dg/dna.tstacki1n.dg	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.tstacki1n.dg	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.tstacki1n.dh	rnastructure_native/data_tables/enthalpy_as_dg/dna.tstacki1n.dh	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.tstacki1n.dh	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.tstacki23.dg	rnastructure_native/data_tables/enthalpy_as_dg/dna.tstacki23.dg	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.tstacki23.dg	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.tstacki23.dh	rnastructure_native/data_tables/enthalpy_as_dg/dna.tstacki23.dh	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.tstacki23.dh	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.tstackm.dg	rnastructure_native/data_tables/enthalpy_as_dg/dna.tstackm.dg	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.tstackm.dg	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.tstackm.dh	rnastructure_native/data_tables/enthalpy_as_dg/dna.tstackm.dh	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.tstackm.dh	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/scaled/dna.coaxial.dg	rnastructure_native/data_tables/scaled/dna.coaxial.dg	native integration	RNAstructure scaled parameter table: dna.coaxial.dg	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.coaxial.dh	rnastructure_native/data_tables/scaled/dna.coaxial.dh	native integration	RNAstructure scaled parameter table: dna.coaxial.dh	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.coaxstack.dg	rnastructure_native/data_tables/scaled/dna.coaxstack.dg	native integration	RNAstructure scaled parameter table: dna.coaxstack.dg	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.coaxstack.dh	rnastructure_native/data_tables/scaled/dna.coaxstack.dh	native integration	RNAstructure scaled parameter table: dna.coaxstack.dh	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.dangle.dg	rnastructure_native/data_tables/scaled/dna.dangle.dg	native integration	RNAstructure scaled parameter table: dna.dangle.dg	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.dangle.dh	rnastructure_native/data_tables/scaled/dna.dangle.dh	native integration	RNAstructure scaled parameter table: dna.dangle.dh	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.dynalignmiscloop.dg	rnastructure_native/data_tables/scaled/dna.dynalignmiscloop.dg	native integration	RNAstructure scaled parameter table: dna.dynalignmiscloop.dg	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.dynalignmiscloop.dh	rnastructure_native/data_tables/scaled/dna.dynalignmiscloop.dh	native integration	RNAstructure scaled parameter table: dna.dynalignmiscloop.dh	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.helix_ends.dg	rnastructure_native/data_tables/scaled/dna.helix_ends.dg	native integration	RNAstructure scaled parameter table: dna.helix_ends.dg	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.helix_ends.dh	rnastructure_native/data_tables/scaled/dna.helix_ends.dh	native integration	RNAstructure scaled parameter table: dna.helix_ends.dh	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.hexaloop.dg	rnastructure_native/data_tables/scaled/dna.hexaloop.dg	native integration	RNAstructure scaled parameter table: dna.hexaloop.dg	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.hexaloop.dh	rnastructure_native/data_tables/scaled/dna.hexaloop.dh	native integration	RNAstructure scaled parameter table: dna.hexaloop.dh	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.int11.dg	rnastructure_native/data_tables/scaled/dna.int11.dg	native integration	RNAstructure scaled parameter table: dna.int11.dg	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.int11.dh	rnastructure_native/data_tables/scaled/dna.int11.dh	native integration	RNAstructure scaled parameter table: dna.int11.dh	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.int21.dg	rnastructure_native/data_tables/scaled/dna.int21.dg	native integration	RNAstructure scaled parameter table: dna.int21.dg	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.int21.dh	rnastructure_native/data_tables/scaled/dna.int21.dh	native integration	RNAstructure scaled parameter table: dna.int21.dh	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.int22.dg	rnastructure_native/data_tables/scaled/dna.int22.dg	native integration	RNAstructure scaled parameter table: dna.int22.dg	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.int22.dh	rnastructure_native/data_tables/scaled/dna.int22.dh	native integration	RNAstructure scaled parameter table: dna.int22.dh	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.loop.dg	rnastructure_native/data_tables/scaled/dna.loop.dg	native integration	RNAstructure scaled parameter table: dna.loop.dg	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.loop.dh	rnastructure_native/data_tables/scaled/dna.loop.dh	native integration	RNAstructure scaled parameter table: dna.loop.dh	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.miscloop.dg	rnastructure_native/data_tables/scaled/dna.miscloop.dg	native integration	RNAstructure scaled parameter table: dna.miscloop.dg	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.miscloop.dh	rnastructure_native/data_tables/scaled/dna.miscloop.dh	native integration	RNAstructure scaled parameter table: dna.miscloop.dh	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.specification.dat	rnastructure_native/data_tables/scaled/dna.specification.dat	native integration	RNAstructure scaled parameter table: dna.specification.dat	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.stack.dg	rnastructure_native/data_tables/scaled/dna.stack.dg	native integration	RNAstructure scaled parameter table: dna.stack.dg	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.stack.dh	rnastructure_native/data_tables/scaled/dna.stack.dh	native integration	RNAstructure scaled parameter table: dna.stack.dh	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.tloop.dg	rnastructure_native/data_tables/scaled/dna.tloop.dg	native integration	RNAstructure scaled parameter table: dna.tloop.dg	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.tloop.dh	rnastructure_native/data_tables/scaled/dna.tloop.dh	native integration	RNAstructure scaled parameter table: dna.tloop.dh	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.triloop.dg	rnastructure_native/data_tables/scaled/dna.triloop.dg	native integration	RNAstructure scaled parameter table: dna.triloop.dg	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.triloop.dh	rnastructure_native/data_tables/scaled/dna.triloop.dh	native integration	RNAstructure scaled parameter table: dna.triloop.dh	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.tstack.dg	rnastructure_native/data_tables/scaled/dna.tstack.dg	native integration	RNAstructure scaled parameter table: dna.tstack.dg	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.tstack.dh	rnastructure_native/data_tables/scaled/dna.tstack.dh	native integration	RNAstructure scaled parameter table: dna.tstack.dh	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.tstackcoax.dg	rnastructure_native/data_tables/scaled/dna.tstackcoax.dg	native integration	RNAstructure scaled parameter table: dna.tstackcoax.dg	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.tstackcoax.dh	rnastructure_native/data_tables/scaled/dna.tstackcoax.dh	native integration	RNAstructure scaled parameter table: dna.tstackcoax.dh	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.tstackh.dg	rnastructure_native/data_tables/scaled/dna.tstackh.dg	native integration	RNAstructure scaled parameter table: dna.tstackh.dg	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.tstackh.dh	rnastructure_native/data_tables/scaled/dna.tstackh.dh	native integration	RNAstructure scaled parameter table: dna.tstackh.dh	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.tstacki.dg	rnastructure_native/data_tables/scaled/dna.tstacki.dg	native integration	RNAstructure scaled parameter table: dna.tstacki.dg	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.tstacki.dh	rnastructure_native/data_tables/scaled/dna.tstacki.dh	native integration	RNAstructure scaled parameter table: dna.tstacki.dh	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.tstacki1n.dg	rnastructure_native/data_tables/scaled/dna.tstacki1n.dg	native integration	RNAstructure scaled parameter table: dna.tstacki1n.dg	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.tstacki1n.dh	rnastructure_native/data_tables/scaled/dna.tstacki1n.dh	native integration	RNAstructure scaled parameter table: dna.tstacki1n.dh	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.tstacki23.dg	rnastructure_native/data_tables/scaled/dna.tstacki23.dg	native integration	RNAstructure scaled parameter table: dna.tstacki23.dg	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.tstacki23.dh	rnastructure_native/data_tables/scaled/dna.tstacki23.dh	native integration	RNAstructure scaled parameter table: dna.tstacki23.dh	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.tstackm.dg	rnastructure_native/data_tables/scaled/dna.tstackm.dg	native integration	RNAstructure scaled parameter table: dna.tstackm.dg	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/data_tables/scaled/dna.tstackm.dh	rnastructure_native/data_tables/scaled/dna.tstackm.dh	native integration	RNAstructure scaled parameter table: dna.tstackm.dh	retain	Distinct free-energy evaluation inputs; not duplicates of enthalpy tables
rnastructure_native/native_manifests/cp312-windows-x86_64.json	rnastructure_native/native_manifests/cp312-windows-x86_64.json	native integration	Target-built native identity manifest	regenerate in place	Binds exact compiled artifact and inputs; regenerate through native build
run_tool.bat	run_tool.bat	repository metadata	Windows source GUI convenience launcher	retain	Distinct maintained contract; no relocation benefit
scientific_metadata.py	scientific_metadata.py	application	Scientific policy, source inventory and engine provenance contracts	retain	Retain stable imports, CLI/GUI entry points and provenance consumers; no parallel implementation
setup.py	setup.py	build/release	Native-aware wheel and source-distribution build hooks; complements declarative pyproject	retain	Distinct maintained contract; no relocation benefit
structure_draw.py	structure_draw.py	application	Structure diagram rendering	retain	Retain stable imports, CLI/GUI entry points and provenance consumers; no parallel implementation
tests/conftest.py	tests/conftest.py	tests	Public regression or integration contract: conftest	retain	Preserve existing behavior, engine, GUI, archive and package checks
tests/test_analyzed_run_archive_v2_contract.py	tests/test_analyzed_run_archive_v2_contract.py	tests	Public regression or integration contract: test_analyzed_run_archive_v2_contract	retain	Preserve existing behavior, engine, GUI, archive and package checks
(new)	tests/test_app_assets.py	tests	Installed/source/frozen GUI asset resolution regression tests	add	Protects resource lookup boundaries without duplicating implementation
tests/test_bounded_persistence_reads.py	tests/test_bounded_persistence_reads.py	tests	Public regression or integration contract: test_bounded_persistence_reads	retain	Preserve existing behavior, engine, GUI, archive and package checks
tests/test_detail_keyboard_access_contract.py	tests/test_detail_keyboard_access_contract.py	tests	Public regression or integration contract: test_detail_keyboard_access_contract	retain	Preserve existing behavior, engine, GUI, archive and package checks
tests/test_engine_edges.py	tests/test_engine_edges.py	tests	Public regression or integration contract: test_engine_edges	retain	Preserve existing behavior, engine, GUI, archive and package checks
tests/test_external_engines.py	tests/test_external_engines.py	tests	Public regression or integration contract: test_external_engines	retain	Preserve existing behavior, engine, GUI, archive and package checks
tests/test_gui_export_safety_contract.py	tests/test_gui_export_safety_contract.py	tests	Public regression or integration contract: test_gui_export_safety_contract	retain	Preserve existing behavior, engine, GUI, archive and package checks
tests/test_native_cancellation_bridge_contract.py	tests/test_native_cancellation_bridge_contract.py	tests	Public regression or integration contract: test_native_cancellation_bridge_contract	retain	Preserve existing behavior, engine, GUI, archive and package checks
tests/test_native_synthetic_runtime.py	tests/test_native_synthetic_runtime.py	tests	Public regression or integration contract: test_native_synthetic_runtime	retain	Preserve existing behavior, engine, GUI, archive and package checks
tests/test_rnastructure_thermo_contract.py	tests/test_rnastructure_thermo_contract.py	tests	Public regression or integration contract: test_rnastructure_thermo_contract	retain	Preserve existing behavior, engine, GUI, archive and package checks
tests/test_scientific_dedup_regressions.py	tests/test_scientific_dedup_regressions.py	tests	Public regression or integration contract: test_scientific_dedup_regressions	retain	Preserve existing behavior, engine, GUI, archive and package checks
tests/test_small_screen_gui.py	tests/test_small_screen_gui.py	tests	Public regression or integration contract: test_small_screen_gui	retain	Preserve existing behavior, engine, GUI, archive and package checks
tests/test_source_distribution_contract.py	tests/test_source_distribution_contract.py	tests	Public regression or integration contract: test_source_distribution_contract	retain	Preserve existing behavior, engine, GUI, archive and package checks
tests/test_vienna_backend_peer_regression.py	tests/test_vienna_backend_peer_regression.py	tests	Public regression or integration contract: test_vienna_backend_peer_regression	retain	Preserve existing behavior, engine, GUI, archive and package checks
thermo_engine.py	thermo_engine.py	application	Scientific orchestration, conditions, reports, candidate handling and severity	retain	Retain stable imports, CLI/GUI entry points and provenance consumers; no parallel implementation
tokens/mbuprime_structlab.registry.json	tokens/mbuprime_structlab.registry.json	resources	UI token registry and generation contract	retain	Definition/registry inputs complement generated gui_tokens_generated.py
tokens/mbuprime_structlab.tokens.json	tokens/mbuprime_structlab.tokens.json	resources	UI token definitions	retain	Definition/registry inputs complement generated gui_tokens_generated.py
vendor/rnastructure-6.6/COPYING	vendor/rnastructure-6.6/COPYING	native integration	Pinned third-party source or component license: COPYING	retain	Required scientific build and corresponding-source/license input
vendor/rnastructure-6.6/README.md	vendor/rnastructure-6.6/README.md	native integration	Pinned third-party source or component license: README.md	retain	Required scientific build and corresponding-source/license input
vendor/rnastructure-6.6/RNAstructureSource.zip	vendor/rnastructure-6.6/RNAstructureSource.zip	native integration	Pinned third-party source or component license: RNAstructureSource.zip	retain	Required scientific build and corresponding-source/license input
vendor/seqfold-0.10.2/LICENSE	vendor/seqfold-0.10.2/LICENSE	native integration	Pinned third-party source or component license: LICENSE	retain	Required scientific build and corresponding-source/license input
vienna_backend.py	vienna_backend.py	application	ViennaRNA backend and exact-geometry evaluation	retain	Retain stable imports, CLI/GUI entry points and provenance consumers; no parallel implementation
windows_bootstrap.py	windows_bootstrap.py	application	Early Windows DLL, Tk and startup safeguards	retain	Retain stable imports, CLI/GUI entry points and provenance consumers; no parallel implementation
